Producto,Marca,Precio,Link,Tienda
"MACBOOK AIR M1 8GB RAM 256GB SSD 13.3""",APPLE,3699,https://simple.ripley.com.pe/macbook-air-m1-8gb-ram-256gb-ssd-133-2004342020823p?ismb=true&mai=v2_Zux-dh0jTLp55kUp0hM8bvxJuHQCITb5wR9U85atJIgy57sRKT4GlAFcnPzi0rx6WLawaLmLDdbZjjtFYd-re2EXtXnOWDBsqMQH9efaSakGpFxE80HHiGFRadspZgyMagWZVbl8NxRRLNrfyAKFvIDJIpKAq8w0NxGL5fMr6PM%3D_ark1958b060f97f757ae,Ripley
"LAPTOP ASUS TUF GAMING F15 FX507ZC4-HN005W INTEL CORE I5 12 NUCLEOS 8GB RAM 512GB SSD RTX3050 15.6"" FHD",ASUS,2699,https://simple.ripley.com.pe/laptop-asus-tuf-gaming-f15-fx507zc4-hn005w-intel-core-i5-12-nucleos-8gb-ram-512gb-ssd-rtx3050-156-fhd-2004317213762p,Ripley
"LAPTOP LENOVO IDEAPAD SLIM 3I INTEL CORE I5 12450H 16GB RAM 512GB SSD 15.6""",LENOVO,1849,https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-intel-core-i5-12450h-16gb-ram-512gb-ssd-156-2004326027718p,Ripley
"LAPTOP ACER A315-59-571M INTEL CORE I5 1235U 8GB RAM 512GB SSD 15.6""",ACER,1649,https://simple.ripley.com.pe/laptop-acer-a315-59-571m-intel-core-i5-1235u-8gb-ram-512gb-ssd-156-2004340182998p,Ripley
"LAPTOP LENOVO IDEAPAD SLIM 3I 15.6"" INTEL CORE I5 8GB RAM 512GB SSD",LENOVO,1649,https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-156-intel-core-i5-8gb-ram-512gb-ssd-2004335012804p,Ripley
"LAPTOP ASUS VIVOBOOK GO 15 E1504FA-NJ404W AMD RYZEN™ 5 7520U 8GB RAM 512GB SSD 15.6""",ASUS,1599,https://simple.ripley.com.pe/laptop-asus-vivobook-go-15-e1504fa-nj404w-amd-ryzentm-5-7520u-8gb-ram-512gb-ssd-156-2004344647059p,Ripley
"LAPTOP LENOVO LOQ INTEL CORE I5 12450HX 24GB RAM 512GB SSD 15.6"" RTX 3050 6GB",LENOVO,3199,https://simple.ripley.com.pe/laptop-lenovo-loq-intel-core-i5-12450hx-24gb-ram-512gb-ssd-156-rtx-3050-6gb-2004339788101p,Ripley
"LAPTOP ASUS TUF GAMING F15 FX507VU-LP180W INTEL® CORE™ I7-13620H 16GB RAM 1TB SSD 15.6"" NVIDIA® GEFORCE RTX™ 4050",ASUS,4799,https://simple.ripley.com.pe/laptop-asus-tuf-gaming-f15-fx507vu-lp180w-intelr-coretm-i7-13620h-16gb-ram-1tb-ssd-156-nvidiar-geforce-rtxtm-4050-2004344674413p,Ripley
"LAPTOP HP 15-FC0013LA AMD RYZEN 7 7730U 16GB RAM 512GB SSD 15.6""",HP,2249,https://simple.ripley.com.pe/laptop-hp-15-fc0013la-amd-ryzen-7-7730u-16gb-ram-512gb-ssd-156-2004343476384p,Ripley
'COMBO LAPTOP LENOVO IDEAPAD 1 15AMN7 RYZEN 5 7520U/ 8GB RAM/ 512GB SSD/ HBLM + IMPRESORA MULTIFUNCIONAL L3250 + MOCHILA TEROS,LENOVO,2419,https://simple.ripley.com.pe/combo-laptop-lenovo-ideapad-1-15amn7-ryzen-5-7520u-8gb-ram-512gb-ssd-hblm-impresora-multifuncional-l3250-mochila-teros-pmp20000736397,Ripley
"LAPTOP HP 15-FD0061LA INTEL CORE I5 12VA 10 NÚCLEOS 12 GB RAM 512 GB SSD 15.6"" HD WINDOWS 11",HP,1849,https://simple.ripley.com.pe/laptop-hp-15-fd0061la-intel-core-i5-12va-10-nucleos-12-gb-ram-512-gb-ssd-156-hd-windows-11-2004340090040p,Ripley
LAPTOP LENOVO IDEAPAD 1 15AMN7 AMD RYZEN 5 7520U/ 8GB RAM/ 512GB SSD/ 15.6” FHD TN/ WIND/ 82VG00HBLM,LENOVO,1649,https://simple.ripley.com.pe/laptop-lenovo-ideapad-1-15amn7-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-156-fhd-tn-wind-82vg00hblm-pmp20000708324,Ripley
"LAPTOP ACER ANV15-41-R0RX AMD RYZEN 5 7535HS 8GB 512GB SSD RTX3050 15.6"" FHD",ACER,2849,https://simple.ripley.com.pe/laptop-acer-anv15-41-r0rx-amd-ryzen-5-7535hs-8gb-512gb-ssd-rtx3050-156-fhd-2004347464714p,Ripley
"LAPTOP ACER A15-51M-98N2 INTEL CORE I9 13900H 16GB 1TB SSD 15.6"" FHD",ACER,3299,https://simple.ripley.com.pe/laptop-acer-a15-51m-98n2-intel-core-i9-13900h-16gb-1tb-ssd-156-fhd-2004347464707p,Ripley
"LAPTOP ASUS VIVOBOOK 15 X1504ZA-NJ1056W INTEL CORE I5-1235U 12GB 512SSD 15.6"" FHD",ASUS,1899,https://simple.ripley.com.pe/laptop-asus-vivobook-15-x1504za-nj1056w-intel-core-i5-1235u-12gb-512ssd-156-fhd-2004352726265p,Ripley
"LAPTOP ACER AL15-71P-53N7 INTEL CORE I5 12450H 8GB 512GB SSD 15.6"" FHD",ACER,1799,https://simple.ripley.com.pe/laptop-acer-al15-71p-53n7-intel-core-i5-12450h-8gb-512gb-ssd-156-fhd-2004347464660p,Ripley
"LAPTOP HP 15-FB2002LA AMD RYZEN 5 8645HS 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,2999,https://simple.ripley.com.pe/laptop-hp-15-fb2002la-amd-ryzen-5-8645hs-8gb-ram-512gb-ssd-156-rtx-3050-2004335737608p,Ripley
"LAPTOP HP VICTUS 15-FB0126LA AMD RYZEN 7 5800H 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,2799,https://simple.ripley.com.pe/laptop-hp-victus-15-fb0126la-amd-ryzen-7-5800h-8gb-ram-512gb-ssd-156-rtx-3050-2004347247034p,Ripley
"LAPTOP ACER AL15-41P-R6Q5 AMD RYZEN 7 5700U 16GB 512GB SSD 15.6"" FHD",ACER,1999,https://simple.ripley.com.pe/laptop-acer-al15-41p-r6q5-amd-ryzen-7-5700u-16gb-512gb-ssd-156-fhd-2004347464677p,Ripley
"LAPTOP GAMER HP 15-FA0007LA INTEL CORE I7 12VA 10 NUCLEOS 16GB RAM 512GB SSD RTX 3050 15.6"" WINDOWS 11",HP,3999,https://simple.ripley.com.pe/laptop-gamer-hp-15-fa0007la-intel-core-i7-12va-10-nucleos-16gb-ram-512gb-ssd-rtx-3050-156-windows-11-2004326210660p,Ripley
"LAPTOP LENOVO LOQ INTEL CORE I5-12450HX 8GB RAM 512GB SSD NVIDIA® GEFORCE RTX™ 3050 6GB 15.6""",LENOVO,2799,https://simple.ripley.com.pe/laptop-lenovo-loq-intel-core-i5-12450hx-8gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-156-2004333916692p,Ripley
"LAPTOP ASUS VIVOBOOK 16 X1605VA-MB165W INTEL CORE I9-13900H 13VA GEN 16GB RAM 1TB SSD 16""",ASUS,3299,https://simple.ripley.com.pe/laptop-asus-vivobook-16-x1605va-mb165w-intel-core-i9-13900h-13va-gen-16gb-ram-1tb-ssd-16-2004322942282p,Ripley
"LAPTOP HP 15-FA0021LA INTEL CORE I5-12450H 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,2799,https://simple.ripley.com.pe/laptop-hp-15-fa0021la-intel-core-i5-12450h-8gb-ram-512gb-ssd-156-rtx-3050-2004335737592p,Ripley
"LAPTOP HP 15-FB2017LA AMD RYZEN 7 R7-8845HS 16GB RAM 1TB SSD 15.6"" RTX 3050",HP,4399,https://simple.ripley.com.pe/laptop-hp-15-fb2017la-amd-ryzen-7-r7-8845hs-16gb-ram-1tb-ssd-156-rtx-3050-2004337219270p,Ripley
