Producto,Marca,Precio,Link,Tienda
"Laptop Asus Vivobook Go 15 de 15.6"", modelo E1504GA-NJ006W, Intel Core i3-N305, 8 núcleos, 8GB RAM, disco sólido de 256GB",ASUS,13490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-vivobook-de-15-6-modelo-e1504ga-nj006w-procesador-intel-core-i3-n305-8gb-ram-256gb-de-disco-solido-entrada-usb-hdmi-y-tipo-c-windows-11-bluetooth-5-3-camara-web-720p-hd-para-oficina-o-estudiante,Hiraoka
"Laptop HP Pavilion de 15.6"", modelo 15-eg2525la, Intel Core i5-1235U (12va Gen), 10 núcleos, 16GB RAM, disco sólido de 512GB",HP,22990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-pavilion-de-15-6-modelo-15-eg2525la-intel-core-i5-1235u-12va-gen-10-nucleos-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Lenovo Ideapad Slim 3 de 15.6"", modelo 83ER0019LM, Intel Core i5-12450H (12va Gen), 8 núcleos, 16GB RAM, disco sólido de 512GB",LENOVO,19990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-3i-de-15-6-modelo-83er0019lm-procesador-intel-core-i5-12450h-12va-generacion-16gb-ram-disco-solido-de-512gb-camara-web-1080p-fhd-entrada-usb-hdmi-y-tipo-c-bluetooth-v5-1-wifi-windows-11-home-para-oficina-o-estudian,Hiraoka
"Laptop Gamer Acer Nitro V de 15.6"", modelo ANV15-51-7353, Intel Core i7 13620H (13va Gen), 10 núcleos, NVIDIA GeForce RTX 3050, 16GB RAM, disco sólido de 512GB",ACER,36990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-15-6-modelo-anv15-51-7353-intel-core-i7-13620h-13va-gen-10-nucleos-nvidia-geforce-rtx-3050-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Acer Aspire de 16"", Intel Core i7-1255U (12va Gen), 10 núcleos, 16GB RAM, disco sólido de 512GB, modelo AL16-51P-7984",ACER,23990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-acer-aspire-de-16-modelo-al16-51p-7984-intel-core-i7-1255u-12va-gen-10-nucleos-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer Asus TUF F15 de 15.6"", modelo FX507ZC4-HN132W, Intel Core i7-12700H (12va Gen), 14 núcleos, NVIDIA GeForce RTX 3050, 16GB RAM, disco sólido de 1TB",ASUS,41990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-asus-tuf-f15-de-15-6-modelo-fx507zc4-hn132w-intel-core-i7-12700h-12va-gen-14-nucleos-nvidia-geforce-rtx-3050-16gb-ram-disco-solido-de-1tb,Hiraoka
"Laptop HP Pavilion de 15.6"", Intel Core i7-1255U (12va Gen), 10 núcleos, 16GB RAM, disco sólido de 512GB, modelo 15-EG2505LA",HP,29990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-pavilion-de-15-6-modelo-15-eg2505la-procesador-intel-core-i7-1255u-12va-generacion-16gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop HP de 15.6"", modelo 15-fd0055la, Intel Core i5-1235U (12va Gen), 10 núcleos, 8GB RAM, disco sólido de 512GB",HP,18490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-hp-de-15-6-modelo-15-fd0055la-intel-core-i5-1235u-12va-gen-10-nucleos-8gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer Lenovo LOQ de 15.6"", modelo 83GS000BLM, Intel Core i5-12450HX (12va Gen), 8 núcleos, NVIDIA GeForce RTX 3050, 8GB RAM, disco sólido de 512GB",LENOVO,27990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-loq-de-15-6-modelo-83gs000blm-intel-core-i5-12450hx-12va-gen-8-nucleos-nvidia-geforce-rtx-3050-8gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Lenovo IdeaPad Slim 3i de 15.6"", modelo 82XB0032LM, Intel Core i3-N305, 8 núcleos, 8GB RAM, disco sólido de 512GB",LENOVO,14490,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-ideapad-slim-3i-de-15-6-modelo-82xb0032lm-procesador-intel-core-i3-n305-8gb-ram-disco-solido-de-512gb-camara-web-1080p-fhd-entrada-usb-hdmi-y-tipo-c-bluetooth-v5-1-wifi-windows-11-home,Hiraoka
