Producto,Marca,Precio (S/),Link
"LAPTOP DELL VOSTRO 5402 CI7-1165G7 14""/8GB/SSD 256GB/WIND 10 PRO GRAY",DELL,"3.991,10",https://cyccomputer.pe/producto/laptop-intel/18797-laptop-dell-vostro-5402-ci7-1165g7-148gbssd-256gbwind-10-pro-gray-.html
"LAPTOP ASUS EXPERTBOOK P2451FA-EK1442R CI7-10510U 14""/ 8GB/1TB/WIN 10 PRO STAR BLACK (PN:90NX02N1-M26100)",ASUS,"2.980,46",https://cyccomputer.pe/producto/laptop-intel/18732-laptop-asus-expertbook-p2451fa-ek1442r-ci7-10510u-14-8gb1tbwin-10-pro-star-black-pn90nx02n1-m26100.html
"LAPTOP DELL LATITUDE 3410 CI7-10210U 14""/8GB/SSD 256GB/UBUNTU (PN:L341i7CLs8256UB1WXCTO)",DELL,"3.730,00",https://cyccomputer.pe/producto/laptop-intel/18696-laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbubuntu-pnl341i7cls8256ub1wxcto.html
"LAPTOP MSI MODERN 15 A11SB NVIDIA MX450 2GB GDDR5/CI7-1165G7/15.6""/16GB/SSD 512GB/W10 HOME PLUS ODD CARBON GRAY",MSI,"3.726,42",https://cyccomputer.pe/producto/laptop-intel/17172-laptop-msi-modern-15-a11sb-nvidia-mx450-2gb-gddr5ci7-1165g715616gbssd-512gbw10-home-plus-odd-carbon-gray-.html
"LAPTOP MSI MODERN 15 A11SB NVIDIA MX450 2GB GDDR5/CI7-1165G7/15.6""/16GB/SSD 1TB/W10 CARBON GRAY (PN:9S7-155226-073)",MSI,"5.656,55",https://cyccomputer.pe/producto/laptop-intel/26518-laptop-msi-modern-15-a11sb-nvidia-mx450-2gb-gddr5ci7-1165g715616gbssd-1tbw10-carbon-gray-pn9s7-155226-073.html
"LAPTOP HP 250 G9 INTEL CI5-1235U 3.30GHZ/15.6""/8GB DDR4/SSD 512GB M.2/SIN SISTEMA OPERATIVO (PN:9S7D5AT)",HP,"1.674,77",https://cyccomputer.pe/producto/laptop-intel/13495408-laptop-hp-250-g9-intel-ci5-1235u-330ghz1568gb-ddr4ssd-512gb-m2sin-sistema-operativo-pn9s7d5at-.html
"LAPTOP HP 250 G9 INTEL CI7-1255U 4.70GHZ/15.6""/8GB DDR4/SSD 512GB M.2/SIN SISTEMA OPERATIVO (PN:7C6J6LA ABM)",HP,"2.368,55",https://cyccomputer.pe/producto/laptop-intel/23986-laptop-hp-250-g9-intel-ci7-1255u-470ghz1568gb-ddr4ssd-512gb-m2sin-sistema-operativo-pn7c6j6la-abm-.html
"LAPTOP DYNABOOK TECRA A40-G CI3-10110U 14""/8GB/SSD 256GB/FREEDOS ESPAÑOL (PN:PMZ21U-00P009)",TOSHIBA,"999,01",https://cyccomputer.pe/producto/laptop-intel/19806-laptop-dynabook-tecra-a40-g-ci3-10110u-148gbssd-256gbfreedos-espanol-pnpmz21u-00p009.html
"LAPTOP DELL VOSTRO 5402 CI7-1165G7 14""/8GB/SSD 256GB/WIND 10 PRO GRAY",DELL,"3.991,10",https://cyccomputer.pe/producto/laptop-intel/18797-laptop-dell-vostro-5402-ci7-1165g7-148gbssd-256gbwind-10-pro-gray-.html
"LAPTOP ASUS EXPERTBOOK P2451FA-EK1442R CI7-10510U 14""/ 8GB/1TB/WIN 10 PRO STAR BLACK (PN:90NX02N1-M26100)",ASUS,"2.980,46",https://cyccomputer.pe/producto/laptop-intel/18732-laptop-asus-expertbook-p2451fa-ek1442r-ci7-10510u-14-8gb1tbwin-10-pro-star-black-pn90nx02n1-m26100.html
"LAPTOP DELL LATITUDE 3410 CI7-10210U 14""/8GB/SSD 256GB/UBUNTU (PN:L341i7CLs8256UB1WXCTO)",DELL,"3.730,00",https://cyccomputer.pe/producto/laptop-intel/18696-laptop-dell-latitude-3410-ci7-10210u-148gbssd-256gbubuntu-pnl341i7cls8256ub1wxcto.html
