Producto,Marca,Precio,Link
"Laptop Gamer Acer Nitro V 15.6"" FHD 165Hz Intel Core i7-13620H 16GB 512GB SSD NVIDIA GeForce RTX3050 Windows 11 (ANV15-51-71H8)",Acer ®,"4,099.90",https://www.pcfactory.com.pe/producto/3490-acer-laptop-gamer-acer-nitro-v-15-6-fhd-165hz-intel-core-i7-13620h-16gb-512gb-ssd-nvidia-geforce-rtx3050-windows-11-anv15-51-71h8
"Laptop Gamer Acer Nitro V 15.6"" FHD 144Hz Intel Core i5-13420H 8GB 512GB SSD NVIDIA GeForce RTX3050 6GB Windows 11 (ANV15-51-56GH)",Acer ®,"3,099.90",https://www.pcfactory.com.pe/producto/3489-acer-laptop-gamer-acer-nitro-v-15-6-fhd-144hz-intel-core-i5-13420h-8gb-512gb-ssd-nvidia-geforce-rtx3050-6gb-windows-11-anv15-51-56gh
"Laptop Gamer Lenovo Legion Pro 7 16IRX9H 16"" QHD+ 240Hz Intel Core i9-14900HX 32GB 1TB SSD NVIDIA GeForce RTX 4080 12GB W11",Lenovo ®,"10,999.90",https://www.pcfactory.com.pe/producto/3453-lenovo-laptop-gamer-lenovo-legion-pro-7-16irx9h-16-qhd-240hz-intel-core-i9-14900hx-32gb-1tb-ssd-nvidia-geforce-rtx-4080-12gb-w11
"Laptop Gamer Lenovo Legion Pro 5 16IRX9 16"" QHD+ 165Hz Intel Core i9-14900HX 16GB 1TB SSD NVIDIA GeForce RTX 4060 8GB W11",Lenovo ®,"6,999.90",https://www.pcfactory.com.pe/producto/3449-lenovo-laptop-gamer-lenovo-legion-pro-5-16irx9-16-qhd-165hz-intel-core-i9-14900hx-16gb-1tb-ssd-nvidia-geforce-rtx-4060-8gb-w11
"Laptop Gamer Lenovo LOQ 15IRX9 15.6"" FHD 144Hz Intel Core i7-13650HX 24GB 512GB SSD NVIDIA GeForce RTX 4050 6GB W11",Lenovo ®,"4,699.90",https://www.pcfactory.com.pe/producto/3447-lenovo-laptop-gamer-lenovo-loq-15irx9-15-6-fhd-144hz-intel-core-i7-13650hx-24gb-512gb-ssd-nvidia-geforce-rtx-4050-6gb-w11
"Laptop Lenovo IdeaPad 5 2 en 1 14"" FHD+ Ryzen 7 8845HS 16GB 512GB SSD W11 (83DR005ULM)",Lenovo ®,"3,299.90",https://www.pcfactory.com.pe/producto/3444-lenovo-laptop-lenovo-ideapad-5-2-en-1-14-fhd-ryzen-7-8845hs-16gb-512gb-ssd-w11-83dr005ulm
"Laptop Lenovo IdeaPad Slim 3 14IRH8 14"" FHD Intel Core i7-13620H 16GB 512GB SSD W11 (83EL003VLM)",Lenovo ®,"2,799.90",https://www.pcfactory.com.pe/producto/3443-lenovo-laptop-lenovo-ideapad-slim-3-14irh8-14-fhd-intel-core-i7-13620h-16gb-512gb-ssd-w11-83el003vlm
"MacBook Air 13"" Chip M3 16GB 256GB SSD Gris espacial",Apple ®,"5,499.90",https://www.pcfactory.com.pe/producto/3392-apple-macbook-air-13-chip-m3-16gb-256gb-ssd-gris-espacial
"MacBook Air 13"" Chip M2 16GB 256GB SSD Gris espacial",Apple ®,"4,699.90",https://www.pcfactory.com.pe/producto/3391-apple-macbook-air-13-chip-m2-16gb-256gb-ssd-gris-espacial
"Laptop Gamer HP OMEN 17.3"" FHD AMD Ryzen 7 8845HS 16GB 1TB SSD NVIDIA GeForce RTX4050 6GB Windows 11 Negro Sombra (17-db0006la)",HP ®,"5,299.90",https://www.pcfactory.com.pe/producto/3390-hp-laptop-gamer-hp-omen-17-3-fhd-amd-ryzen-7-8845hs-16gb-1tb-ssd-nvidia-geforce-rtx4050-6gb-windows-11-negro-sombra-17-db0006la
"Laptop Gamer HP Victus 15.6"" FHD Intel Core i5-12450H 8GB 512GB SSD NVIDIA GeForce RTX3050 4GB W11 Azul (15-fa0021la)",HP ®,"2,849.90",https://www.pcfactory.com.pe/producto/3389-hp-laptop-gamer-hp-victus-15-6-fhd-intel-core-i5-12450h-8gb-512gb-ssd-nvidia-geforce-rtx3050-4gb-w11-azul-15-fa0021la
