Producto,Marca,Precio,Link
"MACBOOK AIR M1 8GB RAM 256GB SSD 13.3""",APPLE,"S/ 3,699",https://simple.ripley.com.pe/macbook-air-m1-8gb-ram-256gb-ssd-133-2004342020823p?ismb=true&mai=v2_Zux-dh0jTLp55kUp0hM8bvxJuHQCITb5wR9U85atJIgy57sRKT4GlAFcnPzi0rx6WLawaLmLDdbZjjtFYd-re2EXtXnOWDBsqMQH9efaSakGpFxE80HHiGFRadspZgyMagWZVbl8NxRRLNrfyAKFvIDJIpKAq8w0NxGL5fMr6PM%3D_ark1958b060f97f757ae
"LAPTOP ASUS TUF GAMING F15 FX507ZC4-HN005W INTEL CORE I5 12 NUCLEOS 8GB RAM 512GB SSD RTX3050 15.6"" FHD",ASUS,"S/ 2,699",https://simple.ripley.com.pe/laptop-asus-tuf-gaming-f15-fx507zc4-hn005w-intel-core-i5-12-nucleos-8gb-ram-512gb-ssd-rtx3050-156-fhd-2004317213762p
"LAPTOP LENOVO IDEAPAD SLIM 3I INTEL CORE I5 12450H 16GB RAM 512GB SSD 15.6""",LENOVO,"S/ 1,849",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-intel-core-i5-12450h-16gb-ram-512gb-ssd-156-2004326027718p
"LAPTOP ACER A315-59-571M INTEL CORE I5 1235U 8GB RAM 512GB SSD 15.6""",ACER,"S/ 1,649",https://simple.ripley.com.pe/laptop-acer-a315-59-571m-intel-core-i5-1235u-8gb-ram-512gb-ssd-156-2004340182998p
"LAPTOP LENOVO IDEAPAD SLIM 3I 15.6"" INTEL CORE I5 8GB RAM 512GB SSD",LENOVO,"S/ 1,649",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-156-intel-core-i5-8gb-ram-512gb-ssd-2004335012804p
"LAPTOP ASUS VIVOBOOK GO 15 E1504FA-NJ404W AMD RYZEN™ 5 7520U 8GB RAM 512GB SSD 15.6""",ASUS,"S/ 1,599",https://simple.ripley.com.pe/laptop-asus-vivobook-go-15-e1504fa-nj404w-amd-ryzentm-5-7520u-8gb-ram-512gb-ssd-156-2004344647059p
"LAPTOP LENOVO LOQ INTEL CORE I5 12450HX 24GB RAM 512GB SSD 15.6"" RTX 3050 6GB",LENOVO,"S/ 3,199",https://simple.ripley.com.pe/laptop-lenovo-loq-intel-core-i5-12450hx-24gb-ram-512gb-ssd-156-rtx-3050-6gb-2004339788101p
"LAPTOP ASUS TUF GAMING F15 FX507VU-LP180W INTEL® CORE™ I7-13620H 16GB RAM 1TB SSD 15.6"" NVIDIA® GEFORCE RTX™ 4050",ASUS,"S/ 4,799",https://simple.ripley.com.pe/laptop-asus-tuf-gaming-f15-fx507vu-lp180w-intelr-coretm-i7-13620h-16gb-ram-1tb-ssd-156-nvidiar-geforce-rtxtm-4050-2004344674413p
"LAPTOP HP 15-FC0013LA AMD RYZEN 7 7730U 16GB RAM 512GB SSD 15.6""",HP,"S/ 2,249",https://simple.ripley.com.pe/laptop-hp-15-fc0013la-amd-ryzen-7-7730u-16gb-ram-512gb-ssd-156-2004343476384p
'COMBO LAPTOP LENOVO IDEAPAD 1 15AMN7 RYZEN 5 7520U/ 8GB RAM/ 512GB SSD/ HBLM + IMPRESORA MULTIFUNCIONAL L3250 + MOCHILA TEROS,LENOVO,"S/ 2,419",https://simple.ripley.com.pe/combo-laptop-lenovo-ideapad-1-15amn7-ryzen-5-7520u-8gb-ram-512gb-ssd-hblm-impresora-multifuncional-l3250-mochila-teros-pmp20000736397
"LAPTOP HP 15-FD0061LA INTEL CORE I5 12VA 10 NÚCLEOS 12 GB RAM 512 GB SSD 15.6"" HD WINDOWS 11",HP,"S/ 1,849",https://simple.ripley.com.pe/laptop-hp-15-fd0061la-intel-core-i5-12va-10-nucleos-12-gb-ram-512-gb-ssd-156-hd-windows-11-2004340090040p
LAPTOP LENOVO IDEAPAD 1 15AMN7 AMD RYZEN 5 7520U/ 8GB RAM/ 512GB SSD/ 15.6” FHD TN/ WIND/ 82VG00HBLM,LENOVO,"S/ 1,649",https://simple.ripley.com.pe/laptop-lenovo-ideapad-1-15amn7-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-156-fhd-tn-wind-82vg00hblm-pmp20000708324
"LAPTOP ACER ANV15-41-R0RX AMD RYZEN 5 7535HS 8GB 512GB SSD RTX3050 15.6"" FHD",ACER,"S/ 2,849",https://simple.ripley.com.pe/laptop-acer-anv15-41-r0rx-amd-ryzen-5-7535hs-8gb-512gb-ssd-rtx3050-156-fhd-2004347464714p
"LAPTOP ACER A15-51M-98N2 INTEL CORE I9 13900H 16GB 1TB SSD 15.6"" FHD",ACER,"S/ 3,299",https://simple.ripley.com.pe/laptop-acer-a15-51m-98n2-intel-core-i9-13900h-16gb-1tb-ssd-156-fhd-2004347464707p
"LAPTOP ASUS VIVOBOOK 15 X1504ZA-NJ1056W INTEL CORE I5-1235U 12GB 512SSD 15.6"" FHD",ASUS,"S/ 1,899",https://simple.ripley.com.pe/laptop-asus-vivobook-15-x1504za-nj1056w-intel-core-i5-1235u-12gb-512ssd-156-fhd-2004352726265p
"LAPTOP ACER AL15-71P-53N7 INTEL CORE I5 12450H 8GB 512GB SSD 15.6"" FHD",ACER,"S/ 1,799",https://simple.ripley.com.pe/laptop-acer-al15-71p-53n7-intel-core-i5-12450h-8gb-512gb-ssd-156-fhd-2004347464660p
"LAPTOP HP 15-FB2002LA AMD RYZEN 5 8645HS 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,"S/ 2,999",https://simple.ripley.com.pe/laptop-hp-15-fb2002la-amd-ryzen-5-8645hs-8gb-ram-512gb-ssd-156-rtx-3050-2004335737608p
"LAPTOP HP VICTUS 15-FB0126LA AMD RYZEN 7 5800H 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,"S/ 2,799",https://simple.ripley.com.pe/laptop-hp-victus-15-fb0126la-amd-ryzen-7-5800h-8gb-ram-512gb-ssd-156-rtx-3050-2004347247034p
"LAPTOP ACER AL15-41P-R6Q5 AMD RYZEN 7 5700U 16GB 512GB SSD 15.6"" FHD",ACER,"S/ 1,999",https://simple.ripley.com.pe/laptop-acer-al15-41p-r6q5-amd-ryzen-7-5700u-16gb-512gb-ssd-156-fhd-2004347464677p
"LAPTOP GAMER HP 15-FA0007LA INTEL CORE I7 12VA 10 NUCLEOS 16GB RAM 512GB SSD RTX 3050 15.6"" WINDOWS 11",HP,"S/ 3,999",https://simple.ripley.com.pe/laptop-gamer-hp-15-fa0007la-intel-core-i7-12va-10-nucleos-16gb-ram-512gb-ssd-rtx-3050-156-windows-11-2004326210660p
"LAPTOP LENOVO LOQ INTEL CORE I5-12450HX 8GB RAM 512GB SSD NVIDIA® GEFORCE RTX™ 3050 6GB 15.6""",LENOVO,"S/ 2,799",https://simple.ripley.com.pe/laptop-lenovo-loq-intel-core-i5-12450hx-8gb-ram-512gb-ssd-nvidiar-geforce-rtxtm-3050-6gb-156-2004333916692p
"LAPTOP ASUS VIVOBOOK 16 X1605VA-MB165W INTEL CORE I9-13900H 13VA GEN 16GB RAM 1TB SSD 16""",ASUS,"S/ 3,299",https://simple.ripley.com.pe/laptop-asus-vivobook-16-x1605va-mb165w-intel-core-i9-13900h-13va-gen-16gb-ram-1tb-ssd-16-2004322942282p
"LAPTOP HP 15-FA0021LA INTEL CORE I5-12450H 8GB RAM 512GB SSD 15.6"" RTX 3050",HP,"S/ 2,799",https://simple.ripley.com.pe/laptop-hp-15-fa0021la-intel-core-i5-12450h-8gb-ram-512gb-ssd-156-rtx-3050-2004335737592p
"LAPTOP HP 15-FB2017LA AMD RYZEN 7 R7-8845HS 16GB RAM 1TB SSD 15.6"" RTX 3050",HP,"S/ 4,399",https://simple.ripley.com.pe/laptop-hp-15-fb2017la-amd-ryzen-7-r7-8845hs-16gb-ram-1tb-ssd-156-rtx-3050-2004337219270p
"LAPTOP LENOVO YOGA 7 2 EN 1 AMD RYZEN 7 8840HS 16GB 1B SSD TOUCH 14""",LENOVO,"S/ 3,999",https://simple.ripley.com.pe/laptop-lenovo-yoga-7-2-en-1-amd-ryzen-7-8840hs-16gb-1b-ssd-touch-14-2004352786672p
"LAPTOP LENOVO LOQ AMD RYZEN 7 7435HS 24GB RAM 512GB SSD 15.6""",LENOVO,"S/ 4,499",https://simple.ripley.com.pe/laptop-lenovo-loq-amd-ryzen-7-7435hs-24gb-ram-512gb-ssd-156-2004339788125p
"LAPTOP LENOVO IDEAPAD 1 AMD RYZEN 7 5700U 16GB RAM 1TB SSD 15.6""",LENOVO,"S/ 2,099",https://simple.ripley.com.pe/laptop-lenovo-ideapad-1-amd-ryzen-7-5700u-16gb-ram-1tb-ssd-156-2004326027909p
"LAPTOP LENOVO IDEAPAD SLIM 3I INTEL CORE I5-12450H 16GB RAM 512GB SSD 15.6 "" TOUCH",LENOVO,"S/ 2,299",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-intel-core-i5-12450h-16gb-ram-512gb-ssd-156-touch-2004344539705p
"LAPTOP HP 15-FC0031LA AMD RYZEN 7 7730U 16GB RAM 1TB SSD 15.6 """,HP,"S/ 2,449",https://simple.ripley.com.pe/laptop-hp-15-fc0031la-amd-ryzen-7-7730u-16gb-ram-1tb-ssd-156-2004349156846p
"LAPTOP LENOVO IDEAPAD 5 2-IN-1 AMD RYZEN 7 8845HS 16GB RAM 512GB SSD TOUCH 14""",LENOVO,"S/ 2,999",https://simple.ripley.com.pe/laptop-lenovo-ideapad-5-2-in-1-amd-ryzen-7-8845hs-16gb-ram-512gb-ssd-touch-14-2004339791200p
"LAPTOP LENOVO IDEAPAD SLIM 5I INTEL CORE I7-13620H 13VA GEN 16GB RAM 512GB SSD 16""",LENOVO,"S/ 2,899",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-5i-intel-core-i7-13620h-13va-gen-16gb-ram-512gb-ssd-16-2004326027923p
"LAPTOP ASUS VIVOBOOK GO 15 E1504GA-NJ007W INTEL CORE I3-N305 8GB 512SSD 15.6"" FHD",ASUS,"S/ 1,449",https://simple.ripley.com.pe/laptop-asus-vivobook-go-15-e1504ga-nj007w-intel-core-i3-n305-8gb-512ssd-156-fhd-2004352726241p
"LAPTOP HP 13-BG0002LA AMD RYZEN 5 8640U 16GB RAM 512GB SSD 13.3""",HP,"S/ 3,349",https://simple.ripley.com.pe/laptop-hp-13-bg0002la-amd-ryzen-5-8640u-16gb-ram-512gb-ssd-133-2004335737615p
LAPTOP LENOVO IDEAPAD SLIM 3 AMD RYZEN 5 7520U 8GB RAM 512GB SSD 15.6”,LENOVO,"S/ 1,799",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3-amd-ryzen-5-7520u-8gb-ram-512gb-ssd-156-2004352309949p
LAPTOP LENOVO YOGA PRO 7 AMD RYZEN AI 9 32GB RAM 1TB SSD 14.5”,LENOVO,"S/ 5,799",https://simple.ripley.com.pe/laptop-lenovo-yoga-pro-7-amd-ryzen-ai-9-32gb-ram-1tb-ssd-145-2004344953518p
LAPTOP DELL INSPIRON 3520 INTEL CORE I5 1235U 24GB RAM 512GB SSD 15.6 FHD FREEDOS,DELL,"S/ 1,969",https://simple.ripley.com.pe/laptop-dell-inspiron-3520-intel-core-i5-1235u-24gb-ram-512gb-ssd-156-fhd-freedos-pmp20000570681
LAPTOP HP 250 G9 INTEL CORE I5 1235U 24GB RAM 512GB SSD M.2 15.6 HD FREEDOS,HP,"S/ 2,099",https://simple.ripley.com.pe/laptop-hp-250-g9-intel-core-i5-1235u-24gb-ram-512gb-ssd-m2-156-hd-freedos-pmp20000760726
"LAPTOP ASUS X1605ZA-MB292 16GB 15"" 512GB SSD INTEL VIVOBOOK 16 CORE I5-12500H 12N RAM GRAPHICS 16 WUXGA BLACK FD",ASUS,"S/ 2,350",https://simple.ripley.com.pe/laptop-asus-x1605za-mb292-16gb-15-512gb-ssd-intel-vivobook-16-core-i5-12500h-12n-ram-graphics-16-wuxga-black-fd-pmp20000572810
"LAPTOP LENOVO V15 G4 AMN 8GB 15"" 256GB SSD AMD RYZEN VG4 AMD ATHLON SILVER DDR5 AMD RADEON FHD FD ARTIC GREY",LENOVO,"S/ 1,230",https://simple.ripley.com.pe/laptop-lenovo-v15-g4-amn-8gb-15-256gb-ssd-amd-ryzen-vg4-amd-athlon-silver-ddr5-amd-radeon-fhd-fd-artic-grey-pmp20000694280
"LAPTOP LENOVO YOGA SLIM 7 SNAPDRAGON X ELITE X1E-78-100 32GB RAM 1TB SSD 14.5 """,LENOVO,"S/ 5,699",https://simple.ripley.com.pe/laptop-lenovo-yoga-slim-7-snapdragon-x-elite-x1e-78-100-32gb-ram-1tb-ssd-145-2004344539699p
"LAPTOP LENOVO IDEAPAD SLIM 3I INTEL CORE I3-N305 8GB RAM 512GB SSD 15.6""",LENOVO,"S/ 1,399",https://simple.ripley.com.pe/laptop-lenovo-ideapad-slim-3i-intel-core-i3-n305-8gb-ram-512gb-ssd-156-2004326027688p
"LAPTOP HP 15-FD0065LA INTEL CORE I5-1235U 16GB RAM 1TB SSD 15.6""",HP,"S/ 2,499",https://simple.ripley.com.pe/laptop-hp-15-fd0065la-intel-core-i5-1235u-16gb-ram-1tb-ssd-156-2004349156853p
"LAPTOP HP 15-FD0055LA INTEL CORE I5 8GB RAM 512GB SSD 15.6""",HP,"S/ 1,799",https://simple.ripley.com.pe/laptop-hp-15-fd0055la-intel-core-i5-8gb-ram-512gb-ssd-156-2004349156822p
"LAPTOP LENOVO LOQ INTEL CORE I5-12450HX 8GB RAM 512GB SSD 15.6"" RTX 3050 6GB",LENOVO,"S/ 2,799",https://simple.ripley.com.pe/laptop-lenovo-loq-intel-core-i5-12450hx-8gb-ram-512gb-ssd-156-rtx-3050-6gb-2004338746478p
